,label,title,description,generated_description
3162,1,Besieging holy sites: past lessons,The standoff at one of Islam's holiest shrines parallels one at the Church of the Nativity in 2002.,"ATHENS (Reuters) - The besieging of holy sites in Iraq is a lesson from the past, and it's a lesson to be learned from the past."
92499,4,Spain sprouts WiMax network,"Europe appears to be fertile ground for new WiMax networks. Spain is the latest country to embrace the emerging high-end broadband wireless technology, following recent deployments in France, Ireland, and the U.K.","Spain has launched a WiMax network that will allow users to connect to their mobile phones and other devices, according to a report released by the European Union."
37658,4,Oracle sets new deadline on PeopleSoft bid,Oracle has again pushed back the expiration date on its offer for PeopleSoft stock.,"Oracle has set a new deadline for PeopleSoft #39;s bid for the software maker, a move that could lead to a $1 billion takeover bid."
47410,3,Nations demand study of quotas,Governments from nearly 30 countries demanded Friday that the World Trade Organization undertake an urgent review of what might happen when textile quotas end Jan. 1. The ,The United Nations has demanded a study of the quotas that have been imposed on the world #39;s poorest countries.
53346,1,Judge in London gives okay to let premature baby die,"LONDON : Doctors caring for a critically-ill premature baby, Charlotte Wyatt, were given permission by a British judge to allow her to die if her condition seriously deteriorates and her breathing stops.","A judge in London has granted an order to allow a premature baby to be born, allowing the mother to have a baby."
35040,4,Lycos Screensaver down for indefinite period,Lycos Europe attempted to get back at the leading spammers of the world through an initiative called MakeLoveNotSpam. The move was applauded by the ordinary user of the web considering more than a lakh ,"Lycos Inc., the world #39;s largest maker of screensavers, has announced that it will stop selling the software for indefinite periods until the end of the year."
5621,4,Helicopter Stunt Pilots to Snag Stardust for NASA (Reuters),"Reuters - NASA has recruited two\Hollywood helicopter stunt pilots for an especially tricky\maneuver -- snagging a capsule full of stardust as it\parachutes back to Earth next month, mission managers said on\Thursday.",Reuters - NASA's space agency said on Wednesday it would send a team of pilots to snagstardust for the first time in more than a decade.
106794,3,Hiring Spurt Helps Sustain U.S. Growth,Consumer spending accelerated in October as a surge in hiring led to the biggest rise in incomes in five months.,"NEW YORK (Reuters) - The U.S. economy grew at a steady pace in the first quarter of 2004, but the economy remained strong in the second quarter, boosted by hiring spurts and a rebound in oil prices."
101946,3,BT sells Eutelsat satellite stake,BT Group says the sale of its 15.8 stake in the Paris-based satellite operator Eutelsat is part of a strategy to focus on its core telephony business.,"BT has agreed to sell its stake in Eutelsat Satellite Communications Inc. to the European Union #39;s largest satellite operator, a move that could boost the company #39;s ability to compete with rivals."
1855,4,"AMD Ships New Mobile Athlon 64, 90-nm Processors",Advanced Micro Devices on Tuesday said it has begun shipping a 3700 mobile Athlon 64 processor. The chip maker also confirmed it has started shipping processors on its 90-nanometer manufacturing process for revenue. ,"AMD Corp. on Tuesday announced the availability of two new mobile processors, the Athlon 64 and 90-nm processors, designed to run on a variety of mobile devices."
4408,4,Google Shares Hit  #36;100.34 in Market Debut (AP),"AP - In a debut vaguely reminiscent of the dot-com boom, shares of Internet search giant Google Inc. surged in their first day of public trading Thursday as investors who avoided the company's auction-based offering readily jumped into the familiar territory of the stock market.",AP - Shares of Google Inc. soared to #36;100.34 a share on Monday after the Internet search engine's shares were boosted by a surge in its share price.
98161,2,Falcons Spoil Manning's Debut With Giants (AP),"AP - Michael Vick ran for 104 yards and threw two first-half touchdown passes to Alge Crumpler to lead the Atlanta Falcons to a 14-10 win over the New York Giants on Sunday, spoiling Manning's first start.",AP - Peyton Manning's debut with the New York Giants was greeted with a smile on his face as the Atlanta Falcons beat the San Francisco Giants 1-0 Saturday night.
38608,2,Liverpool prepares for life without Gerrard,"Liverpool, England (Sports Network) - Liverpool will take the field Saturday against Norwich without the familiar face of captain Steven Gerrard there to guide them.","Liverpool are preparing for their first game of the Premier League season with a 1-0 win over Everton at Old Trafford on Saturday. The Red Devils have won their first two games in a row, and they have won their first."
